model,correct,wrong,total,accuracy,wrong_ids
ensemble-all-majority,233,49,282,0.8262,q004;q015;q020;q023;q025;q026;q037;q047;q052;q055;q085;q090;q100;q116;q117;q118;q121;q122;q126;q129;q142;q154;q156;q176;q180;q182;q188;q189;q191;q195;q208;q218;q222;q223;q226;q232;q240;q250;q255;q259;q266;q271;q281;q290;q293;q313;q315;q317;q318
ensemble-top3-majority,232,50,282,0.8227,q004;q015;q020;q023;q025;q026;q037;q047;q052;q055;q085;q090;q093;q100;q116;q117;q118;q121;q122;q129;q142;q154;q161;q176;q180;q182;q188;q189;q191;q194;q195;q208;q218;q222;q223;q224;q226;q232;q240;q250;q255;q259;q266;q271;q281;q290;q293;q313;q315;q317
ensemble-top5-majority,232,50,282,0.8227,q004;q015;q020;q023;q025;q026;q037;q047;q052;q055;q085;q090;q100;q116;q117;q118;q121;q122;q129;q142;q154;q176;q180;q182;q183;q188;q189;q191;q194;q195;q208;q218;q222;q223;q226;q232;q240;q250;q252;q255;q259;q266;q271;q281;q290;q293;q313;q315;q317;q318
sonnet-bench,228,54,282,0.8085,q004;q015;q020;q023;q025;q026;q037;q043;q047;q052;q055;q085;q090;q100;q116;q117;q118;q120;q121;q122;q129;q142;q154;q161;q173;q176;q180;q182;q188;q189;q191;q193;q194;q195;q208;q218;q222;q223;q224;q226;q232;q240;q248;q250;q255;q259;q261;q266;q271;q281;q290;q293;q313;q317
deepseek-r1-bench,227,55,282,0.805,q004;q015;q020;q023;q025;q026;q030;q037;q045;q047;q052;q055;q085;q090;q093;q111;q116;q118;q121;q122;q129;q142;q151;q154;q176;q178;q180;q182;q188;q189;q191;q195;q209;q216;q218;q222;q223;q226;q232;q233;q240;q250;q252;q254;q255;q259;q266;q271;q281;q283;q290;q293;q313;q315;q317
llama4-maverick-bench,223,59,282,0.7908,q004;q015;q020;q023;q025;q026;q037;q039;q045;q047;q050;q052;q055;q085;q090;q093;q098;q100;q104;q116;q117;q118;q121;q122;q125;q129;q142;q151;q154;q167;q176;q180;q182;q183;q188;q189;q194;q195;q208;q218;q222;q223;q226;q232;q250;q255;q256;q259;q266;q271;q281;q285;q290;q293;q307;q312;q315;q317;q318
nova-pro-bench,223,59,282,0.7908,q004;q006;q015;q020;q023;q025;q026;q037;q047;q052;q055;q085;q090;q100;q116;q117;q118;q121;q122;q126;q129;q142;q151;q154;q155;q156;q176;q178;q180;q182;q183;q188;q189;q191;q195;q208;q216;q218;q222;q223;q226;q232;q234;q244;q250;q252;q255;q259;q266;q271;q281;q290;q293;q312;q314;q315;q317;q318;q321
llama3-70b-bench,215,67,282,0.7624,q004;q015;q017;q020;q023;q025;q026;q037;q047;q051;q052;q055;q085;q090;q098;q099;q110;q111;q117;q118;q120;q121;q122;q129;q132;q142;q144;q151;q154;q155;q156;q176;q180;q182;q183;q188;q189;q191;q193;q194;q195;q208;q218;q222;q223;q226;q232;q240;q248;q250;q252;q254;q255;q256;q259;q261;q266;q269;q271;q281;q290;q293;q313;q315;q317;q318;q321
claude35-haiku-bench,211,71,282,0.7482,q004;q017;q020;q023;q025;q026;q037;q045;q047;q052;q055;q084;q085;q090;q096;q100;q104;q110;q111;q116;q117;q118;q121;q122;q126;q129;q132;q136;q142;q148;q149;q151;q154;q155;q156;q161;q173;q176;q180;q182;q183;q188;q189;q191;q193;q194;q195;q208;q216;q218;q222;q223;q225;q226;q232;q240;q248;q250;q254;q259;q261;q266;q271;q281;q283;q290;q293;q313;q317;q318;q319
llama4-scout-bench,207,75,282,0.734,q004;q016;q020;q023;q025;q026;q030;q037;q039;q047;q050;q051;q052;q055;q061;q085;q089;q090;q093;q095;q098;q099;q109;q116;q117;q118;q120;q121;q122;q123;q125;q126;q129;q142;q148;q149;q151;q154;q156;q167;q176;q180;q182;q183;q188;q189;q191;q193;q195;q208;q216;q218;q220;q222;q223;q232;q233;q244;q248;q250;q252;q255;q259;q266;q271;q273;q281;q289;q290;q292;q293;q312;q315;q317;q318
haiku-bench,204,78,282,0.7234,q006;q017;q020;q023;q025;q030;q034;q037;q039;q045;q047;q051;q052;q055;q061;q072;q085;q086;q090;q096;q100;q104;q116;q117;q118;q121;q122;q125;q126;q129;q136;q142;q148;q151;q154;q156;q157;q161;q168;q173;q176;q177;q180;q182;q183;q188;q189;q191;q193;q194;q195;q199;q213;q216;q218;q219;q222;q223;q226;q227;q232;q233;q235;q240;q250;q252;q255;q259;q266;q271;q274;q281;q290;q293;q313;q315;q317;q318
claude37-sonnet-bench,191,91,282,0.6773,q004;q015;q016;q020;q023;q025;q037;q043;q047;q052;q055;q085;q090;q104;q116;q117;q118;q121;q122;q129;q142;q148;q154;q167;q173;q176;q180;q182;q188;q189;q195;q218;q222;q223;q224;q226;q232;q233;q244;q250;q252;q255;q259;q264;q265;q266;q267;q268;q269;q270;q271;q273;q274;q275;q276;q277;q279;q281;q283;q284;q285;q286;q288;q289;q290;q291;q292;q293;q294;q295;q298;q299;q300;q301;q302;q305;q307;q308;q309;q311;q312;q313;q314;q315;q317;q318;q319;q320;q321;q322;q323
